STATE;ELECTORALVOTES;POPULARVOTE_Biden;POPULARVOTE_Trump;All_Others
AL;9;849624;1441170;32488
AK;3;153778;189951;15801
AZ;11;1672143;1661686;53497
AR;6;423932;760647;34490
CA;55;11110639;6006518;384223
CO;9;1804352;1364607;88021
CT;7;1080831;714717;28309
DE;3;296268;200603;7475
DC;3;317323;18586;8447
FL;29;5297045;5668731;101680
GA;16;2473633;2461854;64473
HI;4;366130;196864;11475
ID;4;287021;554119;26794
IL;20;3471915;2446891;114938
IN;11;1242498;1729857;60855
IA;6;759061;897672;34138
KS;6;570323;771406;32257
KY;8;772474;1326646;37648
LA;8;856034;1255776;36252
ME*;3;435072;360737;23652
MD;10;1985023;976414;75593
MA;11;2382202;1167202;81998
MI;16;2804040;2649852;85410
MN;10;1717077;1484065;76029
MS;6;539398;756764;17597
MO;10;1253014;1718736;54212
MT;3;244786;343602;15286
NE*;1;374583;556846;24954
NV;6;703486;669890;32000
NH;4;424937;365660;15608
NJ;14;2608400;1883313;57744
NM;5;501614;401894;20457
NY;29;5244886;3251997;119978
NC;15;2684292;2758775;81737
ND;3;115042;235751;11231
OH;18;2679165;3154834;88203
OK;7;503890;1020280;36529
OR;7;1340383;958448;75490
PA;20;3458229;3377674;101073
RI;4;307486;199922;10349
SC;9;1091541;1385103;36685
SD;3;150471;261043;11095
TN;11;1143711;1852475;57665
TX;38;5259126;5890347;165583
UT;6;560282;865140;62867
VT;3;242820;112704;11904
VA;13;2413568;1962430;84526
WA;12;2369612;1584651;133368
WV;5;235984;545382;13365
WI;10;1630866;1610184;56991
WY;3;73491;193559;9715